fid,stroek_navn,long,lat,bydel,stroek_nr
"1",Solheim,"60.37127649527915","5.336879786850015",Årstad,"1"
"2",Gyldenpris,"60.380400643104686","5.316596408982212",Undefined,"2"
"3",Damsgård,"60.383569902298404","5.302093414993073",Laksevåg,"3"
"4",Kringsjå,"60.3898886630884","5.28604612801252",Laksevåg,"4"
"5",Nygård (Laksevåg),"60.38817377153113","5.274399475378052",Laksevåg,"5"
"6",Gravdal,"60.38710556341981","5.261948541474975",Laksevåg,"6"
"8",Kjøkkelvik,"60.384912785920264","5.228395430381186",Laksevåg,"8"
"9",Olsvik,"60.37883853761025","5.219395927891131",Laksevåg,"9"
"10",Godvik,"60.37375583516423","5.195657170009791",Laksevåg,"10"
"11",Vadmyra,"60.36297239464026","5.228095970755056",Laksevåg,"11"
"12",Loddefjorddalen,"60.36581492600013","5.234393788763356",Laksevåg,"12"
"13",Kronstad,"60.37366103901841","5.349236227727442",Årstad,"13"
"14",Årstad,"60.37887318880138","5.357208056412009",Bergenhus,"14"
"15",Fridalen,"60.36516016404381","5.356690900155878",Årstad,"15"
"16",Minde,"60.35661507583429","5.341439029421865",Årstad,"16"
"17",Fjøsanger,"60.34642361928855","5.334806602097346",Undefined,"17"
"18",Storetveit,"60.34843142828038","5.345093078905621",Fana,"18"
"19",Nattland,"60.34786120488971","5.371471221986871",Årstad,"19"
"20",Landås,"60.36611092280503","5.3706233447145735",Årstad,"20"
"21",Sædalen,"60.34202348300611","5.380579522275442",Fana,"21"
"22",Fantoft,"60.34677965099607","5.35745856729457",Årstad,"22"
"23",Slettebakken,"60.35594974933241","5.362772286614167",Årstad,"23"
"24",Trengereid,"60.422231167074486","5.62581495661186",Arna,"24"
"25",Skuggestranda,"60.41814078241781","5.541708289349967",Arna,"25"
"26",Garnes,"60.435896719483466","5.477796450389986",Arna,"26"
"27",Ytre Arna,"60.45528713838826","5.42963241871513",Arna,"27"
"28",Indre Arna,"60.41650195813524","5.47022787865238",Arna,"28"
"29",Hordvik,"60.514557550047996","5.303514830510578",Åsane,"29"
"30",Hylkje,"60.50486135429211","5.3526494440233146",Åsane,"30"
"31",Blindheim,"60.46964998612947","5.3870248993429755",Åsane,"31"
"32",Dalabygda,"60.48566329987632","5.3340118365570675",Åsane,"32"
"33",Breistein,"60.4867297182508","5.383981872195218",Åsane,"33"
"34",Nyborg,"60.471806369214164","5.34616571320928",Åsane,"34"
"35",Helldalsåsen,"60.33327185150048","5.380086419501858",Fana,"35"
"36",Melkeplassen,"60.3740377296484","5.304639054656689",Laksevåg,"36"
"37",Kråkenes,"60.33501385566198","5.317863801272554",Fyllingsdalen,"37"
"39",Lyngbø,"60.369683623676714","5.2616789861285005",Laksevåg,"39"
"40",Nordre Fyllingen,"60.353862088030944","5.282553328328583",Fyllingsdalen,"40"
"41",Øvre Fyllingen,"60.35964296725959","5.304509245070241",Fyllingsdalen,"41"
"42",Bjørndal,"60.35332770143691","5.246502118988286",Laksevåg,"42"
"43",Sandviken,"60.41130962573778","5.323768771492281",Bergenhus,"43"
"44",Kalfaret,"60.387660016285416","5.34964863436652",Bergenhus,"44"
"45",Møhlenpris,"60.38355947100721","5.323966703920147",Bergenhus,"45"
"46",Nygård (Sentrum),"60.386158338771395","5.332049647740407",Bergenhus,"46"
"47",Sydnes,"60.388760980759514","5.3153138922816074",Bergenhus,"47"
"48",Marken,"60.39102796998136","5.333477903089923",Bergenhus,"48"
"49",Fjellet,"60.394015500665425","5.332890960963868",Bergenhus,"49"
"50",Skansen,"60.39412653302914","5.337334653378929",Bergenhus,"50"
"51",Ladegården,"60.40374630070945","5.328503514770993",Bergenhus,"51"
"52",Eidemarken,"60.399903991019904","5.330089058642569",Bergenhus,"52"
"53",Engen,"60.391523415108004","5.318988512735579",Bergenhus,"53"
"54",Sentrum,"60.391980378971866","5.324107078959139",Bergenhus,"54"
"55",Vågsbunnen,"60.394394933813636","5.327864753051345",Bergenhus,"55"
"56",Bryggen,"60.39774066320017","5.3238410503509055",Bergenhus,"56"
"57",Bergenhus,"60.40067908544416","5.317731969312446",Bergenhus,"57"
"58",Stølen,"60.39958023453588","5.325408916154824",Bergenhus,"58"
"59",Skuteviken,"60.40223482497768","5.321111883780217",Bergenhus,"59"
"60",Nøstet,"60.39291477464691","5.31416802298282",Bergenhus,"60"
"61",Strandsiden,"60.39564826873292","5.317263227372655",Bergenhus,"61"
"62",Verftet,"60.39567426313726","5.310144222414987",Bergenhus,"62"
"63",Nordnes,"60.39879945539774","5.307448652388946",Bergenhus,"63"
"64",Salhus,"60.505121099274284","5.2679014714438726",Åsane,"64"
"65",Ulset,"60.46883092247518","5.307590112649708",Åsane,"65"
"66",Rolland,"60.46145200172912","5.330637490888099",Åsane,"66"
"67",Flaktveit,"60.46360665373328","5.362679821584606",Åsane,"67"
"68",Mjølkeråen,"60.48680955960945","5.282002696434712",Åsane,"68"
"69",Morvik,"60.47300478697231","5.2712877541173855",Åsane,"69"
"70",Tertnes,"60.45842544520412","5.287671148076753",Åsane,"70"
"71",Ervik,"60.442545215783554","5.32337411045491",Åsane,"71"
